Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Ireland,575.0,318.0,,2016.0,762.0,228.0,170.0,177.0,308.0,3660.0,1388.0,150.0,426.0,1012.0,389.0,39.0,33.0,40.0,,38.0,,1.4098926470724595,11730.409892647072
Maldives,0.0,6.0,0.0,0.0,0.0,17.0,14.0,69.0,50.0,71.0,114.0,341.0,5349.0,5410.0,44.0,,,,,,,2.4491325246854325,11487.449132524685
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,10417.0,,,,10417.0
Paraguay,1626.0,1090.0,286.0,178.0,147.0,172.0,247.0,283.0,132.0,83.0,70.0,140.0,234.0,148.0,194.0,544.0,2263.0,1002.0,527.0,782.0,,1.1493712773762779,10149.149371277375
Latvia,2.0,4.0,6.0,21.0,11.0,15.0,41.0,10.0,3.0,1.0,6.0,4.0,6.0,37.0,72.0,,231.0,6834.0,1949.0,41.0,,3.2688058186371918,9297.268805818638
Belgium,230.0,13.0,153.0,119.0,228.0,4573.0,2687.0,15.0,31.0,59.0,46.0,54.0,54.0,70.0,56.0,94.0,,6.0,,,,2.4563454555638566,8490.456345455565
Georgia,31.0,28.0,46.0,50.0,55.0,52.0,50.0,44.0,101.0,42.0,76.0,85.0,71.0,111.0,132.0,,713.0,3067.0,2646.0,917.0,,2.028536884203353,8319.028536884203
Democratic People's Republic of Korea (the),0.0,0.0,0.0,0.0,0.0,0.0,11.0,66.0,0.0,18.0,67.0,176.0,176.0,187.0,2050.0,2710.0,2710.0,0.0,,,,2.0890284246226365,8173.0890284246225
El Salvador,232.0,163.0,0.0,0.0,257.0,274.0,351.0,632.0,369.0,126.0,313.0,329.0,980.0,488.0,501.0,391.0,,678.0,1170.0,778.0,,0.7361646191714545,8032.736164619171
Saudi Arabia,118.0,47.0,14.0,3.0,19.0,1172.0,64.0,26.0,610.0,138.0,31.0,32.0,79.0,139.0,349.0,749.0,976.0,941.0,,2290.0,,1.4506686980514762,7798.450668698051
Guatemala,440.0,539.0,517.0,,0.0,0.0,143.0,0.0,9.0,1.0,627.0,2.0,,1807.0,2164.0,973.0,530.0,,,,,1.301588099066681,7753.301588099067
Israel,239.0,353.0,51.0,47.0,140.0,51.0,93.0,301.0,4923.0,775.0,11.0,7.0,7.0,109.0,34.0,,7.0,5.0,48.0,25.0,,2.934039249703994,7228.934039249704
