Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
Somalia,,,,,,321.0,,233.0,74.0,53.0,,31.0,,,,,,,,,111.0,,102.0,,,,,,,1079.0,238.0,192.0,71.0,262.0,168.0,95.0,,,,1.2172126270894488,3031.2172126270893
Italy,,33.0,,47.0,,,64.0,58.0,57.0,62.0,,22.0,,0.0,,70.0,67.0,,98.0,,99.0,103.0,105.0,136.0,103.0,90.0,92.0,88.0,123.0,105.0,119.0,100.0,117.0,160.0,154.0,188.0,193.0,196.0,176.0,0.4957315287334384,3025.4957315287334
Haiti,3.0,3.0,,13.0,3.0,15.0,0.0,0.0,2.0,3.0,16.0,92.0,53.0,119.0,33.0,4.0,43.0,,,,,33.0,,,,,,,143.0,153.0,63.0,407.0,122.0,318.0,262.0,245.0,223.0,252.0,381.0,1.1686328452307366,3005.1686328452306
Ecuador,59.0,60.0,52.0,49.0,2.0,27.0,1.0,2.0,2.0,5.0,15.0,15.0,47.0,16.0,,7.0,22.0,36.0,28.0,43.0,24.0,68.0,88.0,158.0,140.0,162.0,129.0,125.0,169.0,199.0,257.0,186.0,162.0,186.0,98.0,97.0,70.0,77.0,81.0,0.8720954599811435,2964.872095459981
South Africa,9.0,1.0,,,2.0,0.0,1.0,,,1.0,1.0,3.0,10.0,3.0,8.0,18.0,38.0,13.0,11.0,4.0,16.0,15.0,21.0,,,39.0,68.0,93.0,117.0,139.0,177.0,237.0,189.0,251.0,273.0,308.0,250.0,356.0,288.0,1.2671031580603629,2961.2671031580603
United Republic of Tanzania,3.0,,,,2.0,,,,5.0,6.0,6.0,18.0,18.0,,,,,,,,,,,,,,,114.0,28.0,1078.0,3.0,274.0,326.0,306.0,158.0,261.0,,,,1.6778678683374368,2607.6778678683377
Lao People's Democratic Republic (the),29.0,11.0,9.0,21.0,,34.0,36.0,24.0,14.0,15.0,12.0,17.0,17.0,21.0,29.0,35.0,19.0,35.0,39.0,27.0,,17.0,,7.0,39.0,15.0,16.0,37.0,27.0,44.0,52.0,37.0,43.0,88.0,31.0,233.0,454.0,,1015.0,2.455746075370048,2601.4557460753704
Japan,133.0,125.0,129.0,120.0,126.0,127.0,116.0,111.0,104.0,113.0,123.0,,117.0,,69.0,69.0,80.0,91.0,90.0,,47.0,,44.0,,,33.0,,34.0,47.0,42.0,53.0,50.0,62.0,43.0,42.0,56.0,36.0,41.0,50.0,0.45367033653069416,2523.4536703365306
Syrian Arab Republic (the),1.0,1.0,3.0,2.0,,1.0,13.0,3.0,6.0,5.0,8.0,6.0,3.0,5.0,,15.0,20.0,23.0,17.0,25.0,36.0,49.0,78.0,135.0,90.0,78.0,89.0,50.0,71.0,113.0,135.0,140.0,192.0,127.0,187.0,113.0,186.0,246.0,244.0,1.0823069843184503,2517.082306984318
Turkey,,25.0,16.0,8.0,13.0,15.0,11.0,24.0,25.0,12.0,19.0,19.0,28.0,51.0,37.0,58.0,48.0,56.0,38.0,,60.0,51.0,61.0,63.0,105.0,95.0,110.0,102.0,123.0,141.0,104.0,116.0,160.0,113.0,161.0,162.0,110.0,69.0,48.0,0.7134157896768756,2457.713415789677
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,8.0,14.0,,19.0,28.0,24.0,49.0,,21.0,,7.0,8.0,,,,,79.0,45.0,109.0,88.0,155.0,254.0,229.0,324.0,289.0,203.0,229.0,221.0,1.3475208757578612,2421.3475208757577
